DATE,T10Y2Y
1995-01-01,0.27250000000000000000
1995-02-01,0.35789473684210526316
1995-03-01,0.42913043478260869565
1995-04-01,0.49473684210526315789
1995-05-01,0.46181818181818181818
1995-06-01,0.45227272727272727273
1995-07-01,0.49800000000000000000
1995-08-01,0.50739130434782608696
1995-09-01,0.39150000000000000000
1995-10-01,0.34761904761904761905
1995-11-01,0.45142857142857142857
1995-12-01,0.38700000000000000000
1996-01-01,0.54000000000000000000
1996-02-01,0.78000000000000000000
1996-03-01,0.60761904761904761905
1996-04-01,0.55409090909090909091
1996-05-01,0.64181818181818181818
1996-06-01,0.61500000000000000000
1996-07-01,0.59545454545454545455
1996-08-01,0.60636363636363636364
1996-09-01,0.59800000000000000000
1996-10-01,0.62090909090909090909
1996-11-01,0.50210526315789473684
1996-12-01,0.52047619047619047619
1997-01-01,0.57095238095238095238
1997-02-01,0.52105263157894736842
1997-03-01,0.47250000000000000000
1997-04-01,0.43727272727272727273
1997-05-01,0.43428571428571428571
1997-06-01,0.39904761904761904762
1997-07-01,0.32954545454545454545
1997-08-01,0.35952380952380952381
1997-09-01,0.32666666666666666667
1997-10-01,0.25772727272727272727
1997-11-01,0.16222222222222222222
1997-12-01,0.09363636363636363636
1998-01-01,0.18750000000000000000
1998-02-01,0.15684210526315789474
1998-03-01,0.08590909090909090909
1998-04-01,0.07333333333333333333
1998-05-01,0.05900000000000000000
1998-06-01,-0.02363636363636363636
1998-07-01,0.00318181818181818182
1998-08-01,0.07333333333333333333
1998-09-01,0.14047619047619047619
1998-10-01,0.43809523809523809524
1998-11-01,0.28736842105263157895
1998-12-01,0.13863636363636363636
1999-01-01,0.10684210526315789474
1999-02-01,0.12263157894736842105
1999-03-01,0.17956521739130434783
1999-04-01,0.20772727272727272727
1999-05-01,0.28500000000000000000
1999-06-01,0.28090909090909090909
1999-07-01,0.23714285714285714286
1999-08-01,0.26090909090909090909
1999-09-01,0.25333333333333333333
1999-10-01,0.24950000000000000000
1999-11-01,0.17200000000000000000
1999-12-01,0.17090909090909090909
2000-01-01,0.22100000000000000000
2000-02-01,-0.09100000000000000000
2000-03-01,-0.27173913043478260870
2000-04-01,-0.41315789473684210526
2000-05-01,-0.36909090909090909091
2000-06-01,-0.38454545454545454545
2000-07-01,-0.28500000000000000000
2000-08-01,-0.40260869565217391304
2000-09-01,-0.28250000000000000000
2000-10-01,-0.17380952380952380952
2000-11-01,-0.15809523809523809524
2000-12-01,-0.11150000000000000000
2001-01-01,0.40095238095238095238
2001-02-01,0.44210526315789473684
2001-03-01,0.54318181818181818182
2001-04-01,0.90700000000000000000
2001-05-01,1.1313636363636364
2001-06-01,1.2042857142857143
2001-07-01,1.1976190476190476
2001-08-01,1.2139130434782609
2001-09-01,1.6129411764705882
2001-10-01,1.8409090909090909
2001-11-01,1.8690000000000000
2001-12-01,1.9805000000000000
2002-01-01,2.0076190476190476
2002-02-01,1.8963157894736842
2002-03-01,1.7265000000000000
2002-04-01,1.7881818181818182
2002-05-01,1.9004545454545455
2002-06-01,1.9335000000000000
2002-07-01,2.0963636363636364
2002-08-01,2.1236363636363636
2002-09-01,1.8655000000000000
2002-10-01,2.0290909090909091
2002-11-01,2.1252631578947368
2002-12-01,2.1961904761904762
2003-01-01,2.3052380952380952
2003-02-01,2.2747368421052632
2003-03-01,2.2333333333333333
2003-04-01,2.3361904761904762
2003-05-01,2.1538095238095238
2003-06-01,2.1071428571428571
2003-07-01,2.5013636363636364
2003-08-01,2.5809523809523810
2003-09-01,2.5680952380952381
2003-10-01,2.5427272727272727
2003-11-01,2.3733333333333333
2003-12-01,2.3604545454545455
2004-01-01,2.3895000000000000
2004-02-01,2.3442105263157895
2004-03-01,2.2486956521739130
2004-04-01,2.2766666666666667
2004-05-01,2.1820000000000000
2004-06-01,1.9704761904761905
2004-07-01,1.8595238095238095
2004-08-01,1.7731818181818182
2004-09-01,1.6004761904761905
2004-10-01,1.5125000000000000
2004-11-01,1.3420000000000000
2004-12-01,1.2190909090909091
2005-01-01,0.99900000000000000000
2005-02-01,0.78052631578947368421
2005-03-01,0.77090909090909090909
2005-04-01,0.68714285714285714286
2005-05-01,0.50047619047619047619
2005-06-01,0.35772727272727272727
2005-07-01,0.30650000000000000000
2005-08-01,0.21826086956521739130
2005-09-01,0.25285714285714285714
2005-10-01,0.19250000000000000000
2005-11-01,0.11850000000000000000
2005-12-01,0.06285714285714285714
2006-01-01,0.02050000000000000000
2006-02-01,-0.09947368421052631579
2006-03-01,-0.01000000000000000000
2006-04-01,0.10157894736842105263
2006-05-01,0.14181818181818181818
2006-06-01,-0.01545454545454545455
2006-07-01,-0.03100000000000000000
2006-08-01,-0.02695652173913043478
2006-09-01,-0.05000000000000000000
2006-10-01,-0.06666666666666666667
2006-11-01,-0.14523809523809523810
2006-12-01,-0.10900000000000000000
2007-01-01,-0.11666666666666666667
2007-02-01,-0.12631578947368421053
2007-03-01,-0.00909090909090909091
2007-04-01,0.02761904761904761905
2007-05-01,-0.02000000000000000000
2007-06-01,0.12238095238095238095
2007-07-01,0.18523809523809523810
2007-08-01,0.36173913043478260870
2007-09-01,0.51000000000000000000
2007-10-01,0.56000000000000000000
2007-11-01,0.81200000000000000000
2007-12-01,0.98050000000000000000
2008-01-01,1.2685714285714286
2008-02-01,1.7645000000000000
2008-03-01,1.8930000000000000
2008-04-01,1.6277272727272727
2008-05-01,1.4342857142857143
2008-06-01,1.3257142857142857
2008-07-01,1.4345454545454545
2008-08-01,1.4652380952380952
2008-09-01,1.6100000000000000
